,street_address,city,state,zip_code,longitude,latitude,family_id
0,750 Angela Avenue,Bastrop,LA,71220,-91.961948,32.811043,NtBpCYZAAf
1,24163 Robert Expressway,Shreveport,LA,71129,-93.971795,32.417261,wAlLGSViRb
2,4525 Brian Trafficway Suite 727,Jena,LA,71342,-92.111126,31.711846,ZyvoVEfkmV
3,3037 Farley Curve,Houma,LA,70360,-90.874256,29.677032,CoGEPThfYx
4,4986 Garcia Meadows Apt. 915,New Orleans,LA,70114,-90.067449,29.97419,RynHjrjqBA
5,1004 Dylan Courts Apt. 437,Springhill,LA,71075,-93.547824,33.060881,QZwojCrCvC
6,617 Johnson Island Suite 238,Harvey,LA,70058,-90.086529,29.954891,YwQuYvdJFD
7,1052 Potter Station,Harvey,LA,70058,-90.135629,29.938115,WglSgiNsLR
8,43803 Donna Mission Suite 055,Prairieville,LA,70769,-90.916067,30.328331,PXlxLjgUKS
9,63025 Alexandra Course Apt. 352,Jennings,LA,70546,-92.720959,30.217149,ElUewWUTBS
10,01727 Michael Court,Crowley,LA,70526,-92.470317,30.240446,SyvljaxAHe
11,874 Kevin Court,Alexandria,LA,71301,-92.557105,31.381181,JFTXHgERSH
12,76326 Dominique Walk Apt. 439,Alexandria,LA,71301,-92.511757,31.386881,RDQYGLsSYK
13,08522 Darin Forges Apt. 644,New Orleans,LA,70128,-90.064304,30.069827,ePlKEnSPeg
14,20569 Torres Ville Suite 704,Ruston,LA,71270,-92.675585,32.581918,CCUxIbDJwd
15,753 Hart Prairie,Crowley,LA,70526,-92.476405,30.277705,mHATAMEJeb
16,1884 Russell Freeway,Baton Rouge,LA,70818,-91.06974,30.554662,aKmThrUDni
17,8695 Santos Green,Slidell,LA,70460,-89.839091,30.346295,fOnTYUfumE
18,2816 Miller Crest,Alexandria,LA,71303,-92.557196,31.374513,jxZnJCwzSD
19,472 Miller Crossing,Alexandria,LA,71301,-92.55586,31.3114,idPUrTvkQD
20,4642 Cheryl Grove,Vidalia,LA,71373,-91.51973,31.654759,YxmAWUnwea
21,873 Roberts Walk,La Place,LA,70068,-90.58968,30.136658,BEYgMioTIR
22,41466 Cory Villages,Denham Springs,LA,70726,-90.989162,30.465887,IBabQUdTLo
23,030 Burns Loaf Suite 301,Baton Rouge,LA,70816,-91.15638,30.441523,RWmncpuClm
24,912 Hancock Wells,Oak Grove,LA,71263,-91.428784,32.932839,WLvLKDeKaW
25,28704 Smith Plaza Suite 747,Raceland,LA,70394,-90.622939,29.741683,EKGRvbvsln
26,9289 Christopher Loaf Apt. 491,Baton Rouge,LA,70817,-91.057043,30.45026,ZyKwibpdCm
27,9990 Morgan Via Apt. 696,Shreveport,LA,71129,-93.942462,32.483677,MjMhtDNmRY
28,06882 Nelson Falls Apt. 540,Shreveport,LA,71106,-93.83593,32.481254,OHudnQrbWV
29,104 Smith Landing Apt. 950,Thibodaux,LA,70301,-90.885128,29.865909,ODjaiLBcfV
30,16739 William Manor,Bossier City,LA,71111,-93.628616,32.621042,ycGnFcomPi
31,400 Joshua Bypass,Jena,LA,71342,-92.152029,31.767917,ADOTmCCmcf
32,6456 Roy Grove,Deridder,LA,70634,-93.310602,30.921918,AoYGyTxkhV
33,978 Wilson Hill,Baton Rouge,LA,70818,-91.173659,30.522274,fTTpmUAKTg
34,8421 Matthew Ferry Suite 378,Ville Platte,LA,70586,-92.317744,30.764585,xWyYzWIHXg
35,72821 Martin Views,Shreveport,LA,71105,-93.745193,32.549525,wDHmEBliCm
36,4442 Julie Islands Suite 734,Lake Charles,LA,70605,-93.249248,30.256965,FlJcUifPuK
37,9029 Hall Curve,Opelousas,LA,70570,-92.122019,30.518712,epxwGSGPZE
38,5691 Richard Fords Apt. 693,Slidell,LA,70461,-89.767851,30.32091,KXahzvhsZi
39,350 Cheryl Views Suite 897,Denham Springs,LA,70726,-91.022994,30.540371,hnkyoHbPFT
40,258 Calvin Stream,Kenner,LA,70065,-90.31632,30.076394,SRlomsZVua
41,34062 Sandoval Turnpike,Lake Charles,LA,70607,-93.239132,30.25143,PVHVlcBURr
42,591 Caroline Station Apt. 761,Prairieville,LA,70769,-91.08573,30.365765,fbElFargCr
43,26113 Johnson Pass Suite 187,Mansfield,LA,71052,-93.728351,32.121269,zSjrutZKsc
44,54829 Lamb Overpass,Slidell,LA,70460,-89.832906,30.340702,luMrJsOyEH
45,0430 Erin Squares Suite 449,Rayville,LA,71269,-91.885223,32.573388,FJRJvpKNHd
46,28152 Wilson Pines,Shreveport,LA,71105,-93.769274,32.480199,iQmpjuCZdF
47,404 Bonnie Drive,Chalmette,LA,70043,-90.062693,30.067829,oIDCaEJhsK
48,3643 Eugene Coves,Slidell,LA,70461,-89.769374,30.325148,kpThXBIGGD
49,41535 Patrick Square Apt. 692,Baton Rouge,LA,70818,-91.021234,30.54834,bsNdvacrwD
50,53165 Macias Roads Apt. 967,Kenner,LA,70065,-90.231025,30.031303,fhFaUHvTZp
51,460 Evans Villages Apt. 372,Metairie,LA,70003,-90.239595,30.042606,nVptUhLhOX
52,3079 Russell Road,Mandeville,LA,70448,-90.140029,30.440933,ecPxVLjaWS
53,435 Daniel Trace,New Orleans,LA,70114,-90.084887,29.929521,POStbnTDsU
54,7096 Watson Crossroad,Shreveport,LA,71129,-93.966327,32.443981,pEjpwLNDlC
55,242 Pruitt Manor Apt. 601,Slidell,LA,70458,-89.829374,30.310539,yhYcTVMbvW
56,91982 Jesse Mountains Suite 806,Baton Rouge,LA,70815,-91.133713,30.54576,fIEXsfalih
57,607 Dakota Oval Suite 063,Lake Charles,LA,70605,-93.239196,30.281157,LptYBtLvsX
58,37468 Sarah Meadows,Sulphur,LA,70663,-93.318096,30.231904,PuxYjJntDe
59,2750 Paul Mountains,Houma,LA,70364,-90.716319,29.621645,XiQMywWOlx
60,381 Hoffman Lakes,Gretna,LA,70053,-90.170368,29.978522,SmkjITlvGK
61,622 Charles Cape Apt. 210,Baton Rouge,LA,70817,-91.08667,30.488979,LnThUccAwV
62,00636 Jones Branch,Pineville,LA,71360,-92.447722,31.455462,WEcSgckbFp
63,1179 Kevin Trace Apt. 714,Mandeville,LA,70448,-90.133179,30.417087,WndUYQdcuc
64,5658 Jeffrey Curve Suite 561,Baton Rouge,LA,70816,-91.171657,30.472086,TvRYmOYOAK
65,56752 Fields Mount,Mandeville,LA,70448,-90.138463,30.412533,mgpPDIwVOC
66,655 Fox Throughway,Bossier City,LA,71111,-93.72361,32.56091,ZDpcttusbe
67,5245 Shawn Courts,Abbeville,LA,70510,-92.164555,30.023817,mGAKaLmrFl
68,5053 Barry Shoal Apt. 122,New Orleans,LA,70130,-90.151275,29.966599,IjjPThJngL
69,274 John Well,Ruston,LA,71270,-92.685214,32.536233,QtSzCXzzpg
70,45040 Long Mission Suite 565,Houma,LA,70364,-90.738206,29.684423,LxKJsCFuJh
71,9292 James Avenue Suite 548,Shreveport,LA,71118,-93.811125,32.458547,mVtaYLLfcv
72,9793 Keller Terrace,Raceland,LA,70394,-90.610445,29.789912,onbrbGEHBp
73,51880 Murphy Locks,Ponchatoula,LA,70454,-90.5336,30.432604,ezbuPZSnKV
74,77307 Ruiz Station,Opelousas,LA,70570,-92.181829,30.539875,VILcyRTpVx
75,01135 William Manor Suite 580,Jena,LA,71342,-92.189156,31.73289,MOMdRpQlLy
76,814 Derek Extensions,New Iberia,LA,70563,-91.81205,30.064851,lcQeXZhESy
77,1565 Michael Mountains Apt. 570,Thibodaux,LA,70301,-90.810954,29.839272,eqsXchLcSs
78,663 Katherine Camp,Broussard,LA,70518,-91.969902,30.136073,opgOAoaMNc
79,29261 Gabrielle Ramp,Shreveport,LA,71105,-93.76545,32.577539,SCuYMYCNor
80,672 Michelle Pass,Bossier City,LA,71111,-93.746769,32.519537,VIQDcrAIoB
81,635 Michael Haven Apt. 155,Harvey,LA,70058,-90.164668,29.942743,ozzoGBPJzQ
82,70168 Everett Roads Apt. 866,Houma,LA,70360,-90.869699,29.636592,vcVXXFwFAa
83,912 Stephens Highway,Many,LA,71449,-93.557178,31.630176,PlCChxUUDr
84,38298 Courtney Valleys,Jena,LA,71342,-92.142817,31.762053,YrGjJIBIqL
85,6441 Randall Creek,La Place,LA,70068,-90.570134,30.128063,GuHZRFjZba
86,3567 Davidson Trail Suite 231,Lake Charles,LA,70607,-93.21842,30.250286,npkBqPjjPz
87,926 Daniel Station,Sulphur,LA,70663,-93.338393,30.287544,CBNXlUughC
88,413 Jason Crest,Ponchatoula,LA,70454,-90.521693,30.461449,HRjDKwbFiZ
89,5435 Gibson Square,Hammond,LA,70401,-90.541548,30.575395,ezXUhikgkm
