,profile_uuid,family_id,family_name,first_name,dob,age_years,phone_number,ssn,income_group,job_name,job_company,job_address,card_choice,card_provider,credit_card_number,credit_card_security_code,credit_card_expire,marital_status
0,811e9924-7bb2-4cb1-97cd-3679decccea9,NtBpCYZAAf,Briggs,Jonathan,1968-07-13,53,(423)345-6458x4569,189-41-1045,120000.0,Senior tax professional/tax inspector,Sharp and Sons,"3525 Hernandez Union Apt. 325
Matthewsmouth, LA 93915",amex,American Express,379258672708861,1541,12/22,married
1,81703a9b-bcc0-4a39-921f-8ddb8261f612,NtBpCYZAAf,Briggs,Colleen,1986-10-26,35,020-395-7568,452-06-7310,,,,,,,,,,married
2,858d6896-8c47-4cd6-945f-b73019ecf7f7,NtBpCYZAAf,Briggs,Andrew,2018-03-08,4,,144-99-6789,,,,,,,,,,single
3,ce24d859-4e1e-4fa2-b08d-4ef00208f235,NtBpCYZAAf,Briggs,Anna,2006-10-19,15,,594-40-7573,,,,,,,,,,single
4,60f35fb5-ecaf-4ceb-b886-e4c2f57e36e3,NtBpCYZAAf,Briggs,Christopher,2020-04-16,2,,778-90-4810,,,,,,,,,,single
5,0abf641c-9647-4039-9376-046cd3855c03,wAlLGSViRb,Hunt,Reginald,1957-11-14,64,501-573-4691x388,283-26-9533,240000.0,Magazine journalist,Bailey Group,"PSC 6430, Box 1228
APO AA 93814",amex,American Express,340372433094002,7293,07/26,single
6,d32f6ca4-ef30-4ec0-9797-ff5413f4f1d2,ZyvoVEfkmV,Todd,Michael,1998-05-11,24,695.823.8493x75202,845-14-5323,120000.0,Police officer,"Flores, Jimenez and Edwards","15869 Smith Ways Apt. 894
Thompsonchester, MA 32687",discover,Discover,6011625832433708,109,08/26,married
7,95989f3a-7cad-4e6b-be68-2e81cf63ac0c,ZyvoVEfkmV,Todd,Shannon,1995-01-25,27,(947)791-6667x808,375-52-8735,,,,,,,,,,married
8,9fe027ae-d11e-46b5-ada7-be84a41cd11e,CoGEPThfYx,Kennedy,Steven,1962-04-04,60,513.191.1226x2676,263-07-3237,80000.0,Location manager,"Horne, Gonzalez and Campbell","99311 Michelle Mission
Charlesberg, KS 85744",visa16,VISA 16 digit,4841773100162756,093,07/22,married
9,7449cb6f-7f70-4ce8-af40-bf796aac3eec,CoGEPThfYx,Kennedy,Christine,1990-11-26,31,(071)111-5093x67547,141-89-4909,,,,,,,,,,married
10,50769725-d6b8-49b0-b14b-a49880fff4db,RynHjrjqBA,Thomas,Ian,1994-09-16,27,761-771-5945x07366,624-57-7610,300000.0,Theatre stage manager,Mckinney Inc,"19539 Chris Shore
Tinaville, TN 18594",discover,Discover,6011588595159706,069,02/30,single
11,caaba69c-092c-4df0-8a6d-8477783a08ba,QZwojCrCvC,Mccullough,Timothy,1971-07-05,50,526-597-4707x82969,454-93-6504,40000.0,Training and development officer,Parker Inc,"0545 Christina Avenue
West Mario, MO 29366",jcb16,JCB 16 digit,3572888752035329,363,03/30,single
12,61b9aa02-760d-4557-bdfb-79cedf099684,YwQuYvdJFD,Hunt,Christopher,1952-12-10,69,+1-185-393-8609x0445,775-39-9274,240000.0,Financial risk analyst,Morgan-Coffey,"4175 Berg Burg Apt. 167
New Ashleyport, NJ 29489",jcb,JCB 16 digit,3554613499382939,802,09/25,single
13,e905c6c5-4a1a-4143-9600-89d8abdc6dec,WglSgiNsLR,Baker,Thomas,1998-09-26,23,9394600032,240-47-4539,120000.0,Operational investment banker,Castillo-Rivera,"34563 Reynolds Manors
West Robert, PA 96141",diners,Diners Club / Carte Blanche,30353879779822,834,07/30,married
14,544ae382-e569-4b77-9299-ffcf426008e2,WglSgiNsLR,Baker,Rebecca,2000-03-05,22,+1-413-921-7797x42331,425-43-7752,,,,,,,,,,married
15,9f47b4f9-903f-4aad-9ab0-e89427a661bb,PXlxLjgUKS,Davis,William,1995-12-09,26,731-189-8511x2075,180-09-5418,200000.0,Geophysical data processor,"Francis, Blake and Myers","USS Curry
FPO AP 84477",jcb,JCB 16 digit,3530668699769029,132,12/24,married
16,ecbecc20-e345-4a9b-8e2f-f3e4d463db36,PXlxLjgUKS,Davis,Jaclyn,1991-10-07,30,9879577820,264-16-2122,,,,,,,,,,married
17,5677e0ea-91f1-4876-9de0-9576d51aa237,ElUewWUTBS,Ramirez,Jonathan,1988-03-02,34,001-588-937-0837x7715,258-17-8195,120000.0,Air broker,Leblanc Inc,"2810 Nicholas Green
Warrenmouth, CT 51171",visa13,VISA 13 digit,4235119963575,703,03/29,married
18,89c09bda-67c2-4042-9b6d-2a3287d0aaad,ElUewWUTBS,Ramirez,Kristen,2000-01-19,22,001-167-980-5034x720,637-22-1351,,,,,,,,,,married
19,28290b33-a24e-4115-b7bf-773d00ac9993,ElUewWUTBS,Ramirez,Cathy,2021-04-16,1,,284-10-7633,,,,,,,,,,single
20,50357e05-e493-4794-9588-9f42655e4bd6,SyvljaxAHe,Lambert,David,1971-01-21,51,0396534337,556-96-4078,300000.0,"Civil engineer, contracting",Wilson-Alvarado,"USNV Ward
FPO AE 68270",mastercard,Mastercard,5212460593633539,170,06/29,single
21,2828c598-ef7e-4045-8116-33e6391df37f,JFTXHgERSH,Harris,Steven,1948-04-04,74,+1-357-765-7396,873-82-8358,240000.0,"Editor, magazine features",Martinez Inc,"2689 Jenna Way
Davisport, GA 80967",discover,Discover,6011668526159841,461,11/22,single
22,fe4592de-33a0-45d5-bd95-5bdde1e4bbdd,RDQYGLsSYK,Shepard,Philip,1945-08-22,76,9431334173,141-13-2415,120000.0,Technical brewer,Johnson-Wilson,"569 Donald Corners
New Patrick, AL 72761",jcb,JCB 16 digit,3547273533738313,275,01/26,married
23,69a2a5d0-f507-4248-b9df-de9253a1b74a,RDQYGLsSYK,Shepard,Kristi,1969-09-02,52,001-220-001-6852x992,794-74-7009,,,,,,,,,,married
24,0061bb81-b728-4552-8d17-d10867153d18,ePlKEnSPeg,Cole,Jackson,1952-06-22,70,+1-167-692-3054x2026,514-60-2070,80000.0,"Administrator, Civil Service",Howard-Hayes,"25359 Brown Squares
Jasonview, KS 23141",discover,Discover,6597164353446628,367,04/25,married
25,7e6bac1c-41cc-42c6-882b-3c83347e689a,ePlKEnSPeg,Cole,Kerry,1962-06-29,60,147.405.4713,417-11-9845,,,,,,,,,,married
26,085c794e-661d-41a3-ad2c-cde920788652,ePlKEnSPeg,Cole,Andrea,1983-08-05,38,,561-36-9194,,,,,,,,,,single
27,81b8c3e4-a941-4ccf-8121-20a8163fded4,ePlKEnSPeg,Cole,Samantha,2008-12-14,13,,507-12-7954,,,,,,,,,,single
28,d9ab4b49-a279-4eec-b9df-c5e5f107e77a,ePlKEnSPeg,Cole,Alice,1994-07-19,27,,469-17-5711,,,,,,,,,,single
29,baa613ab-8f35-41f2-900d-6a51324399d3,CCUxIbDJwd,Nichols,Charles,1982-09-02,39,141.772.9659,456-75-7956,160000.0,Museum/gallery curator,Carter-Ward,"2286 Renee Cliff Apt. 040
Dicksonfort, ND 32321",visa13,VISA 13 digit,4023045401518,306,02/27,married
30,e6a05c44-7fb2-4295-bc64-0e14fc38d4ae,CCUxIbDJwd,Nichols,Rebecca,1982-11-18,39,791-173-8399x18373,021-18-7643,,,,,,,,,,married
31,5c4909fa-1491-4ae5-b5dc-06bce9c937cb,CCUxIbDJwd,Nichols,Mary,2013-04-19,9,,872-53-7489,,,,,,,,,,single
32,4f196cfd-7921-42fa-9a93-cbec01404466,CCUxIbDJwd,Nichols,Peggy,2012-06-18,10,,607-24-1499,,,,,,,,,,single
33,fd26fae4-f90a-4191-8a3c-5372a06b8c93,CCUxIbDJwd,Nichols,Teresa,2013-08-28,8,,185-60-5773,,,,,,,,,,single
34,eb877635-e9da-4020-8e59-3d0ae4bd8c14,mHATAMEJeb,Davies,Eric,1960-05-07,62,095-350-9073x018,871-18-4036,80000.0,"Engineer, land",Hensley-Martin,"346 Kara Forge
East Kimberlyland, WA 97133",jcb,JCB 16 digit,3577423572778802,708,07/29,married
35,cd78aeea-c26d-428d-8bbd-f57077b4bb75,mHATAMEJeb,Davies,Suzanne,1961-12-14,60,+1-521-710-1609x3683,324-54-5486,,,,,,,,,,married
36,373c9b02-ad42-4270-ad29-8e1fff15a110,mHATAMEJeb,Davies,Seth,2002-09-28,19,,614-64-3811,,,,,,,,,,single
37,e9041863-7ba0-4c4f-a693-8c959ad1db4a,mHATAMEJeb,Davies,Jason,1983-07-20,38,,468-69-1213,,,,,,,,,,single
38,44decb58-ccd2-4110-801c-c7b482d406e8,mHATAMEJeb,Davies,Donald,2019-07-05,2,,506-96-3942,,,,,,,,,,single
39,221c8a26-a778-49e3-9ff4-2634c6a943c2,aKmThrUDni,Freeman,Christopher,1982-04-19,40,849.374.6468x8241,323-23-5827,270000.0,Field seismologist,"Forbes, Gray and Mason","310 David Loaf
Martineztown, NC 65142",amex,American Express,373976846793206,9546,08/22,married
40,e8687370-71c1-4eae-9ff4-ec1f3d8f4017,aKmThrUDni,Freeman,Stephanie,1993-06-28,28,(373)830-1484,390-35-9615,,,,,,,,,,married
41,d4c0175c-ed2d-43fa-8dd7-5ee46c63f133,aKmThrUDni,Freeman,Dawn,2012-05-06,10,,383-58-0208,,,,,,,,,,single
42,68ae3ec9-21bb-4817-b8b0-a5ef2db97a11,aKmThrUDni,Freeman,James,2018-03-06,4,,519-46-8273,,,,,,,,,,single
43,89505ad9-7617-4783-b89f-2704533ad4e4,aKmThrUDni,Freeman,Jill,2012-12-18,9,,403-35-6077,,,,,,,,,,single
44,d4b6e79c-dbdd-4615-a4c3-1e6075a27c7d,fOnTYUfumE,Adams,David,1976-02-06,46,288.925.0257x474,397-57-2523,80000.0,Cabin crew,Parker-Ramirez,"PSC 0532, Box 6245
APO AA 15520",diners,Diners Club / Carte Blanche,30528894274780,744,03/27,single
45,02bc9eff-16f5-464a-b5ca-def7991d9a5a,jxZnJCwzSD,Nelson,Brian,1987-08-04,34,+1-807-191-9790,657-02-0028,160000.0,Osteopath,Cox-Cox,"27386 Reyes Court
Port Christine, MA 77956",visa,VISA 16 digit,4421489223059237,728,10/28,married
46,c7cbb7f3-9482-4706-be84-bd01420c2ba4,jxZnJCwzSD,Nelson,Carrie,1992-10-22,29,(635)336-6454x45513,796-57-0715,,,,,,,,,,married
47,67712822-881c-41ff-b090-583156dcff88,jxZnJCwzSD,Nelson,Daniel,2013-12-07,8,,254-13-0381,,,,,,,,,,single
48,c0a59951-cc31-4d24-805a-db745a33ff1f,jxZnJCwzSD,Nelson,Robert,2014-08-24,7,,871-92-7104,,,,,,,,,,single
49,a49058ca-3f98-408e-aed3-e5c2c0264bbd,idPUrTvkQD,Hayes,Justin,1981-07-20,40,594.051.6619,720-95-7704,270000.0,Communications engineer,Burnett-Moreno,"4748 Jeffrey Corners
Port Michelle, VA 79093",maestro,Maestro,580560947062,140,03/27,single
50,d1e75953-9919-4a37-94ca-53641617599e,YxmAWUnwea,Clark,Andrew,1965-04-11,57,002.323.7655x28391,510-94-6044,40000.0,"Scientist, biomedical",Williams LLC,"467 Wright Knolls Suite 341
Lake Scottmouth, NY 34827",diners,Diners Club / Carte Blanche,30065768191816,779,06/26,married
